Ticket,Description,Organization,Status,Priority,Properties,Tags,Assigned,Created
DASH-1,Error on generating G-sheet link for bulk input of products Login failure and timeout issue observed.,Organization 2,COMPLETED,P3: Normal.,Escalated to Tech Onboarding,Bug,Elijah Thompson; John Johnson; Evelyn Davis,24-Sep-25
DASH-2,Cannot generate Store order report (Product Merge) Login failure and timeout issue observed.,Organization 4,COMPLETED,P2: Urgent. Workaround available.,Escalated to Tech Onboarding,Patient,Jacob Perez; Logan Brown,6-Sep-25
DASH-3,Listed Concerns Login failure and timeout issue observed.,Organization 3,COMPLETED,P1: Urgent. No workaround.,Backlog,Reference Range,Harper Brown; Lucas Davis; Lucas Davis,30-Sep-25
DASH-4,UTZ Machine Unable to Send Images Login failure and timeout issue observed.,Organization 2,COMPLETED,P1: Urgent. No workaround.,Site-wide,Docs gen,Ava Johnson; Sophia Moore; Mason Lee,31-Aug-25
DASH-5,Orders Not Automatically Updating to Paid Status Login failure and timeout issue observed.,Organization 4,COMPLETED,P2: Urgent. Workaround available.,Recurring,Actions,Jacob Moore; John Lee,1-Sep-25
DASH-6,List of concerns Login failure and timeout issue observed.,Organization 3,COMPLETED,P3: Normal.,Org-wide,Patient,Evelyn Smith; Logan Martinez,20-Sep-25
DASH-7,Incorrect Statement of Account for Philippine Sports Commission Login failure and timeout issue observed.,Organization 2,COMPLETED,P3: Normal.,Escalated to Dev,Patient; Settings; Reference Range,Logan Johnson,25-Aug-25
DASH-8,Request to Add Partners to Products (Excluding 'Package') Login failure and timeout issue observed.,Organization 2,COMPLETED,P1: Urgent. No workaround.,Org-wide,Services; Update,Ava Martin,6-Aug-25
DASH-9,Unable to view PT08 Notes and Other Patient Services Login failure and timeout issue observed.,Organization 1,COMPLETED,P1: Urgent. No workaround.,Site-wide,Services; Store Orders; Signatories,Elijah Thompson,3-Sep-25
DASH-10,Sales Report Display Overlap Login failure and timeout issue observed.,Organization 3,COMPLETED,P1: Urgent. No workaround.,Site-wide,Signatories; Update,Evelyn Anderson; Ethan Thomas; Isabella Moore,28-Aug-25
DASH-11,MCH results are not transmitting from the Hema machine Login failure and timeout issue observed.,Organization 3,COMPLETED,P1: Urgent. No workaround.,Escalated to Service Managers,Bug; Update,Harper Martinez,12-Aug-25
DASH-12,LIS unable to generate daily census report Login failure and timeout issue observed.,Organization 4,COMPLETED,P3: Normal.,Site-wide,Bug; Settings,Lucas Thomas; Lucas Perez; Mia Thomas,11-Aug-25
DASH-13,Delayed upload of radiology images to PACS Login failure and timeout issue observed.,Organization 1,COMPLETED,P1: Urgent. No workaround.,Org-wide,User Access,Charlotte Davis,15-Aug-25
DASH-14,Barcode scanner not recognized by LIS terminal Login failure and timeout issue observed.,Organization 1,COMPLETED,P1: Urgent. No workaround.,Escalated to Service Managers,Bug; Store Orders; Docs gen,Oliver Martin,6-Sep-25
DASH-15,Pathology reports showing duplicate patient names Login failure and timeout issue observed.,Organization 1,COMPLETED,P2: Urgent. Workaround available.,Escalated to Enterprise,Settings; Bug; Patient Services,Charlotte Anderson; John Smith,13-Aug-25
DASH-16,Hematology analyzer connectivity intermittent Login failure and timeout issue observed.,Organization 1,COMPLETED,P1: Urgent. No workaround.,Escalated to Dev,Settings; Update; Docs gen,Mia Brown; Jacob Lee,11-Sep-25
DASH-17,LIS printing template misaligned for invoices Login failure and timeout issue observed.,Organization 3,COMPLETED,P1: Urgent. No workaround.,Org-wide,Reference Range; Signatories,Logan Anderson,14-Aug-25
DASH-18,Failed HL7 transmission for chemistry results Login failure and timeout issue observed.,Organization 3,COMPLETED,P1: Urgent. No workaround.,Escalated to Dev,Docs gen; User Access,Noah Lee; Evelyn Perez,15-Sep-25
DASH-19,LIS downtime during peak OPD hours Login failure and timeout issue observed.,Organization 2,COMPLETED,P1: Urgent. No workaround.,Site-wide,Patient; Documents; Machine Transmission,Ethan Jackson; Harper Perez; Ella Thomas,21-Aug-25
DASH-20,Doctor portal not syncing with patient results Login failure and timeout issue observed.,Organization 2,COMPLETED,P1: Urgent. No workaround.,Escalated to Enterprise,Signatories; Documents,John Brown,11-Sep-25
DASH-21,LIS slow response on cashier transactions Login failure and timeout issue observed.,Organization 1,COMPLETED,P1: Urgent. No workaround.,Escalated to Dev,Reference Range; Update,Ethan Brown; Oliver Rodriguez; Evelyn Rodriguez,12-Aug-25
DASH-22,Patient service test results changing to alphanumeric IDs Login failure and timeout issue observed.,Organization 1,COMPLETED,P1: Urgent. No workaround.,Backlog,Reference Range; Services,Jacob Perez; Charlotte Johnson,13-Aug-25
DASH-23,Administrator Account Lacks Continental Access Login failure and timeout issue observed.,Organization 1,COMPLETED,P1: Urgent. No workaround.,Backlog,Reference Range; Bug,Evelyn Jackson; Lucas Moore,12-Aug-25
DASH-24,Addition of Signatory Login failure and timeout issue observed.,Organization 2,COMPLETED,P1: Urgent. No workaround.,Site-wide,Settings; Update; Reference Range,Evelyn Davis; Mason Lopez,23-Aug-25
DASH-25,Routing Slip Adjustment Login failure and timeout issue observed.,Organization 4,COMPLETED,P3: Normal.,Escalated to Service Managers,Machine Transmission; Patient; Reference Range,Isabella Taylor,12-Aug-25
DASH-26,Transaction Void Request: 16354 Login failure and timeout issue observed.,Organization 4,COMPLETED,P3: Normal.,Backlog,Settings; Results; User Access,Mia Wilson; Mia Jackson,23-Sep-25
DASH-27,Pending Email for Labworkz Order Login failure and timeout issue observed.,Organization 2,COMPLETED,P3: Normal.,Escalated to Service Managers,Signatories; Store Orders,Sophia Johnson; Isabella Gonzalez; Isabella Wilson,12-Aug-25
